MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError(read)
RAM;8388608;Int;BufferSize;1;clock_gettime();0.008266;0.008266;1014.841526;0.000000;0.000000;0.001584;0.001584;5294.728630;0.000000;0.000000
RAM;12582912;Int;BufferSize;2;clock_gettime();0.016527;0.016530;761.238479;0.004131;0.24989423;0.001110;0.002139;5882.166062;0.000237;0.11094760
RAM;16777216;Int;BufferSize;3;clock_gettime();0.021337;0.023642;709.636342;0.005398;0.22832432;0.001126;0.002514;6672.453070;0.000220;0.08752639
RAM;20971520;Int;BufferSize;4;clock_gettime();0.014810;0.027344;766.940271;0.004681;0.17119735;0.002061;0.003030;6922.130439;0.000391;0.12896670
RAM;25165824;Int;BufferSize;5;clock_gettime();0.012998;0.029944;840.431179;0.004282;0.14298858;0.006921;0.004414;5701.558051;0.002208;0.50028849
RAM;29360128;Int;BufferSize;6;clock_gettime();0.017131;0.032799;895.149675;0.004005;0.12210621;0.003584;0.005011;5858.841819;0.002052;0.40940074
RAM;33554432;Int;BufferSize;7;clock_gettime();0.011811;0.034486;972.975282;0.003891;0.11281520;0.012772;0.006836;4908.566182;0.003994;0.58431354
RAM;37748736;Int;BufferSize;8;clock_gettime();0.020207;0.037012;1019.895726;0.004070;0.10996568;0.001093;0.006973;5413.945252;0.003872;0.55533203
RAM;41943040;Int;BufferSize;9;clock_gettime();0.017809;0.038991;1075.708086;0.003912;0.10033390;0.009479;0.008026;5226.067411;0.004066;0.50663333
RAM;46137344;Int;BufferSize;10;clock_gettime();0.016657;0.040657;1134.800347;0.003724;0.09158421;0.003342;0.008360;5518.877030;0.003871;0.46302472

SSD;4194304;Int;BufferSize;1;clock_gettime();0.053185;0.053185;78.862493;0.000000;0.000000;0.059475;0.059475;70.521847;0.000000;0.000000
SSD;12582912;Int;BufferSize;2;clock_gettime();0.069268;0.087819;143.282235;0.008042;0.9156920;0.022238;0.070594;178.242727;0.018619;2.6374120
SSD;20971520;Int;BufferSize;3;clock_gettime();0.046690;0.103382;202.854006;0.009491;0.9180028;0.031056;0.080946;259.079580;0.015889;1.9628551
SSD;29360128;Int;BufferSize;4;clock_gettime();0.063971;0.119375;245.948313;0.008852;0.7415162;0.037091;0.090219;325.431641;0.013762;1.5253548
SSD;37748736;Int;BufferSize;5;clock_gettime();0.069148;0.133205;283.388825;0.009033;0.6780935;0.038838;0.097987;385.243735;0.012321;1.2574161
SSD;46137344;Int;BufferSize;6;clock_gettime();0.059911;0.143190;322.210885;0.008248;0.5760184;0.038375;0.104382;442.002892;0.011250;1.0777646
SSD;54525952;Int;BufferSize;7;clock_gettime();0.036141;0.148353;367.542356;0.011408;0.7689999;0.045595;0.110896;491.685509;0.010763;0.9705180
SSD;62914560;Int;BufferSize;8;clock_gettime();0.040300;0.153390;410.159985;0.012001;0.7823971;0.032819;0.114998;547.090895;0.010270;0.8930447
SSD;71303168;Int;BufferSize;9;clock_gettime();0.041998;0.158057;451.123934;0.012012;0.7599604;0.043319;0.119812;595.127477;0.009816;0.8192853
SSD;79691776;Int;BufferSize;10;clock_gettime();0.073921;0.165449;481.670138;0.012952;0.7828292;0.029344;0.122746;649.241463;0.009731;0.7927722
SSD;88080384;Int;BufferSize;11;clock_gettime();0.079659;0.172691;510.047486;0.014175;0.8208132;0.039192;0.126309;697.341223;0.009287;0.7352252
SSD;96468992;Int;BufferSize;12;clock_gettime();0.059317;0.177634;543.078387;0.013579;0.7644383;0.035080;0.129232;746.478168;0.008926;0.6907162
SSD;104857600;Int;BufferSize;13;clock_gettime();0.077075;0.183562;571.236543;0.014022;0.7638626;0.025782;0.131215;799.125528;0.009145;0.6969711
SSD;113246208;Int;BufferSize;14;clock_gettime();0.062099;0.187998;602.379340;0.013531;0.7197496;0.033946;0.133640;847.396776;0.008843;0.6616988
SSD;121634816;Int;BufferSize;15;clock_gettime();0.069753;0.192648;631.382527;0.013321;0.7914813;0.026649;0.135417;898.225864;0.008895;0.6568717
SSD;130023424;Int;BufferSize;16;clock_gettime();0.092864;0.198452;655.187109;0.015134;0.7625781;0.083554;0.140639;924.520036;0.014392;1.0233208
SSD;138412032;Int;BufferSize;17;clock_gettime();0.068002;0.202452;683.676720;0.014745;0.7283135;0.031966;0.142519;971.181679;0.014057;0.9863288
SSD;146800640;Int;BufferSize;18;clock_gettime();0.074254;0.206578;710.631753;0.014578;0.7057002;0.032660;0.144334;1017.092222;0.013726;0.9509992
SSD;155189248;Int;BufferSize;19;clock_gettime();0.063824;0.209937;739.218782;0.014190;0.6759204;0.044310;0.146666;1058.115047;0.013430;0.9157074
SSD;163577856;Int;BufferSize;20;clock_gettime();0.076376;0.213756;765.256353;0.014124;0.6607723;0.036007;0.148466;1101.785831;0.013101;0.8824506
